X,Y,xcoord,ycoord,imb_nbr_logloc,imb_type,addr_numero,addr_nom_voie
-1.56130856787271,47.219371615327,-173804.074746766,5977954.9022901,10,IM,8,Rue Porte Neuve,
-1.57349248242216,47.2138815271512,-175160.381910279,5977055.12563068,2,IM,34,Rue Alfred Riom,
-1.55247920185576,47.2301255233183,-172821.194217731,5979717.64226082,3,IM,36,Rue Fontaine de Barbin,
-1.56381031585386,47.2310231182243,-174082.56805812,5979864.78879794,0,IM,182,Rue Paul Bellamy,
-1.56210191796181,47.2284437433361,-173892.390074704,5979441.94764923,1,PA,135,Rue Paul Bellamy,
-1.56354982682219,47.2310784730289,-174053.570551757,5979873.86342725,9,PA,182,Rue Paul Bellamy,
-1.56164931305292,47.212982644292,-173842.006326716,5976907.81559331,17,IM,16,Rue Jean Jacques Rousseau,
-1.54781912768324,47.2205741198602,-172302.437133787,5978151.99453398,10,IM,5,impasse saint-clément,
-1.55520728298163,47.2272723588308,-173124.882819506,5979249.92746367,1,PA,40,Quai de Versailles,
-1.55721104306864,47.2280366639744,-173347.940372063,5979375.21634299,1,PA,14,Rue de Châteaulin,
-1.57293398164875,47.2232460435188,-175098.209888575,5978589.9427141,1,PA,26,Rue de Carcouet,
-1.56276299134367,47.2219159190681,-173965.980426951,5978371.9226549,1,PA,1,Rue des Hauts Pavés,
-1.54819149740932,47.2278863139784,-172343.889142082,5979350.57004595,3,IM,64,Rue Desaix,
-1.54813597969138,47.2209359048409,-172337.70893799,5978211.29249387,2,PA,55,Rue Maréchal Joffre,
-1.56819909447177,47.2286497324366,-174571.124659071,5979475.7150237,1,PA,10,Rue Bonaparte,
-1.54514812794617,47.2216574228804,-172005.102803148,5978329.55330388,1,PA,106,Rue Gaston Turpin,
-1.56850518553104,47.2257835378436,-174605.198559924,5979005.8773612,2,PA,24,Rue de la Pelleterie,
-1.56768365659167,47.2310101690971,-174513.746376722,5979862.66597492,1,PA,48,Rue Casimir Perier,
-1.57527312498225,47.2293759107289,-175358.602133353,5979594.75700163,1,IM,2,Boulevard Boulay Paty,
-1.54908470151105,47.2106049685761,-172443.32016786,5976518.17118612,23,IM,35,Rue des Olivettes,
-1.5388019880744,47.2326057145481,-171298.653744119,5980124.23659133,1,PA,14,Chemin des Violettes,
-1.54858455286089,47.2109988571622,-172387.643874804,5976582.71893467,1,PA,11,Rue Baron,
-1.56351361957686,47.218441556329,-174049.539979644,5977802.46733173,18,IM,2,Rue Harouys,
-1.54520335309417,47.2173222863604,-172011.250438502,5977619.02458855,5,IM,14,Allée Commandant Charcot,
-1.55412718759967,47.2155152164223,-173004.647151578,5977322.86304692,11,IM,1,Rue Sainte Croix,
-1.56193569008036,47.2189095449629,-173873.885671586,5977879.16947345,2,PA,4,Rue d’Erlon,
-1.55707012564053,47.2272531636378,-173332.253515723,5979246.78091092,35,IM,27,Rue de la Carterie,
-1.56081894203217,47.2211809237271,-173749.569847517,5978251.45226832,1,PA,19,Rue Auguste Brizeux,
-1.5460948793708,47.2317921094052,-172110.494689646,5979990.85476345,1,PA,22,Avenue de l’Omnibus,
-1.56007214385485,47.2254486639319,-173666.436654692,5978950.98519666,1,PA,3,Rue Molac,
-1.56900493586232,47.2107176425568,-174660.830512326,5976536.63537307,15,IM,11,Rue Dobrée,
-1.57388433096498,47.2205121793891,-175204.002290534,5978141.84229139,7,IM,2,Rue des Dervallières,
-1.56246681281031,47.2305485261298,-173933.009983433,5979786.98659399,8,IM,8,Rue Villa Maria,
-1.56394865106035,47.2200476015449,-174097.967462865,5978065.69686534,30,IM,1,Allée des Soeurs de l’Espérance,
-1.56810702499178,47.2145315401107,-174560.87553144,5977161.652116,1,PA,2,Rue de Gigant,
-1.54653822063332,47.222599289448,-172159.847213236,5978483.93288207,20,IM,12,Rue Maréchal Joffre,
-1.56582147635362,47.2208935667917,-174306.449420856,5978204.35310268,4,IM,26,Rue Félibien,
-1.53901156480266,47.2309337638042,-171321.983718792,5979850.14043745,1,PA,70,Rue Général Buat,
-1.54450545158042,47.2286577647436,-171933.560397368,5979477.03174611,1,PA,75,Rue du Coudray,
-1.56313138868468,47.229688201253,-174006.990231361,5979645.95110403,16,IM,159,Rue Paul Bellamy,
-1.54853875141955,47.2290269280438,-172382.545281676,5979537.54827291,14,IM,1,Rue du Port Garnier,
-1.54649227600894,47.2263388951802,-172154.732681046,5979096.91169151,2,PA,3,Rue de la Béraudière,
-1.55404993323341,47.2282647379598,-172996.047234864,5979412.6037684,1,PA,7,rue de barbin,
-1.57520314939502,47.2300505007444,-175350.812486615,5979705.34360517,1,IM,19,Avenue Bernard de Ventadour,
-1.56580915928703,47.2279729806457,-174305.078291276,5979364.77697112,2,PA,9,Rue Alphonse Daudet,
-1.55880054993029,47.2153222515483,-173524.883466515,5977291.23853941,1,PA,17,Rue des Vieilles Douves,
-1.54740026310889,47.2251850538261,-172255.809342659,5978907.77476099,1,PA,14,Avenue Chanzy,
-1.55549966012153,47.2220260962894,-173157.430093839,5978389.9815425,11,IM,5,Rue Adolphe Moitié,
-1.57109250793169,47.2304878887836,-174893.217972083,5979777.04606737,1,PA,64,Boulevard Lelasseur,
-1.55947059571078,47.2246337080597,-173599.472621607,5978817.39997217,7,IM,1,Rue Haute Roche,
-1.54899329746828,47.210419189469,-172433.145116363,5976487.72715199,0,IM,39,Rue des Olivettes,
-1.55034689403579,47.2115968998036,-172583.826796997,5976680.72296014,2,PA,5,Avenue de l’Hôtel Dieu,
-1.54868676247701,47.2104132004745,-172399.021797225,5976486.74572395,0,PA,39,Rue des Olivettes,
-1.54889732479237,47.210355328535,-172422.46148695,5976477.26214379,8,PA,39,Rue des Olivettes,
-1.56838251251509,47.2210224901404,-174591.542662255,5978225.48421988,1,PA,3,Rue d’Havelooze,
-1.54143455125715,47.220581267255,-171591.709337104,5978153.16601576,21,IM,28,Rue Frédéric Cailliaud,
-1.56378151463469,47.2148554551528,-174079.361921068,5977214.73697738,12,IM,2,Place Delorme,
-1.55705600480547,47.2111030125138,-173330.681591554,5976599.78727645,9,IM,4,Allée de l’Ile Gloriette,
-1.5649906210717,47.2102222395994,-174213.959033951,5976455.45265669,6,IM,2,Rue des Vignes,
-1.56386460498043,47.2155465470269,-174088.611496046,5977327.99774845,10,IM,1,Rue Camille Berruyer,
-1.56542312372884,47.22141427031,-174262.105009511,5978289.69906866,1,PA,2,Rue du Bourget,
-1.5436345029004,47.2314152520725,-171836.606833801,5979929.07374379,14,IM,5,Rue du Port Guichard,
-1.56958094860309,47.2175168729643,-174724.951957319,5977650.91608048,2,PA,11,Rue Mondésir,
-1.56905054284013,47.2136962275667,-174665.907457873,5977024.75830073,19,IM,2,Rue Huchette,
-1.56408271506424,47.2271437821814,-174112.891399512,5979228.85068723,12,IM,1,Rue du Maine,
-1.56972834090757,47.2206267005017,-174741.359593601,5978160.61267968,1,PA,63,Rue Félibien,
-1.5531304361321,47.2186249464941,-172893.68928576,5977832.52443069,3,IM,8,Rue Saint Jean,
-1.56438170814711,47.2288859427805,-174146.175157248,5979514.43666668,1,PA,25,Rue Emile Souvestre,
-1.55918160286082,47.2159429946053,-173567.302084707,5977392.9709026,15,IM,2,Rue Paré,
-1.56434921661418,47.2269889933424,-174142.558216347,5979203.4771762,1,PA,5,Rue du Maine,
-1.56873362160721,47.2136997185402,-174630.627947602,5977025.33040867,47,IM,3,Rue Huchette,
-1.56523112473898,47.218599284237,-174240.731779726,5977828.31845734,6,IM,20,Rue de la Bastille,
-1.57565040676317,47.2128448658693,-175400.600949091,5976885.23651527,1,PA,1,Rue Vauquelin,
-1.56325398808988,47.2170450216826,-174020.63793472,5977573.58289467,1,IM,16,Rue Descartes,
-1.55723345172938,47.2135127777424,-173350.434892767,5976994.69421834,8,IM,10,Allée Brancas,
-1.56075481680239,47.2226623556627,-173742.431459591,5978494.27004471,1,PA,5,Rue des Capitaines de Clerville,
-1.5728570061765,47.2283396232567,-175089.6410182,5979424.87950623,1,PA,53,Rue de la Mélinière,
-1.57310326915639,47.2161558689959,-175117.054887723,5977427.85874357,2,PA,15,Avenue Emile Boissier,
-1.56582631405775,47.2146170105946,-174306.987951617,5977175.65942657,3,IM,9,Rue Copernic,
-1.56628304003228,47.2288515577956,-174357.830454534,5979508.79997176,1,PA,3,Rue Léon Say,
-1.56253080740209,47.2219972111465,-173940.133828803,5978385.24704346,21,IM,2,Rue des Hauts Pavés,
-1.55516532126111,47.2221564810496,-173120.211662145,5978411.35264843,1,PA,10,Rue Adolphe Moitié,
-1.5617494625848,47.2285072268435,-173853.154921608,5979452.35435755,28,IM,136,Rue Paul Bellamy,
-1.57179920594248,47.2238183991846,-174971.887234789,5978683.75893943,1,PA,2,Place Anatole France,
-1.53986827650684,47.2230503906732,-171417.352429458,5978557.87300711,3,IM,32,Rue Gambetta,
-1.55757039943179,47.2215974179029,-173387.943739423,5978319.71809377,14,IM,14,Rue de Talensac,
-1.57064399267339,47.2262807726214,-174843.289481916,5979087.38418069,1,PA,29,Rue Paul Painlevé,
-1.5528071689225,47.232448195616,-172857.703344598,5980098.41289378,1,PA,33,avenue de la coquetterie,
-1.56963890613571,47.2224788751561,-174731.403760338,5978464.19584897,1,PA,55,Rue de Miséricorde,
-1.55900195938571,47.21347921097,-173547.304264533,5976989.19324745,17,IM,16,Rue de la Fosse,
-1.56949460867651,47.2201399480982,-174715.340640657,5978080.8326344,1,PA,22,rue charles monselet,
-1.57620464981781,47.232531396653,-175462.299003709,5980112.05288537,4,IM,66,Boulevard Jean XXIII,
-1.55902570277734,47.2134422049071,-173549.9473668,5976983.12864471,0,IM,16,Rue de la Fosse,
-1.56946802559826,47.2295510356709,-174712.381425923,5979623.46537387,1,PA,43,Rue Félix Faure,
-1.57151555163585,47.2268099750032,-174940.310981813,5979174.13197579,1,PA,7,Rue François Lizé,
-1.56799632789976,47.2291356721995,-174548.552787524,5979555.37466106,1,PA,20,Rue Léon Say,
-1.56421384977658,47.2258580960966,-174127.489248915,5979018.09891552,1,PA,8,Rue Général Bedeau,
-1.562050280327,47.2212045514258,-173886.641799492,5978255.32497165,6,IM,13,Place Viarme,
-1.54050144204138,47.2202977419321,-171487.83609435,5978106.69539351,1,PA,15,Avenue Guillon,
-1.57077080009522,47.2227723610718,-174857.405619543,5978512.30102482,1,PA,34,Rue de Miséricorde,
-1.54497061979382,47.2310562202811,-171985.342686017,5979870.21540605,1,PA,9,Avenue de l’Aumônerie,
-1.56282370807043,47.2236539478536,-173972.739382056,5978656.80321347,1,PA,5,Rue de Friedland,
-1.56207437938113,47.2173665550368,-173889.324493926,5977626.2799294,1,PA,6,Rue Général Meusnier,
-1.53951609916937,47.2278615445431,-171378.148227581,5979346.50969432,1,PA,13,Rue Gabrielle le Pan de Ligny,
-1.54109329372271,47.2151480210292,-171553.720722141,5977262.6844551,3,PA,5,Rue des Remorqueurs,
-1.54374431434307,47.2134253313801,-171848.830987681,5976980.36339009,3,IM,3,Rue de Valmy,
-1.57462829745797,47.220442204354,-175286.8202617,5978130.37317215,1,PA,7,Rue des Dervallières,
-1.56836706933736,47.2275113780606,-174589.823535574,5979289.10854638,1,PA,40,Rue Ernest Legouvé,
-1.57068592682147,47.219795333443,-174847.957569927,5978024.34979621,1,PA,4,Rue Lieutenant Sageran,
-1.56248785222543,47.2224948790031,-173935.352080411,5978466.81902719,1,PA,45,Rue de Savenay,
-1.54890935573062,47.2272133545117,-172423.80076487,5979240.25524353,3,IM,9,Rue Général Margueritte,
-1.55797991429444,47.2141461909758,-173433.530725405,5977098.49954219,19,IM,29,Rue la Pérouse,
-1.55065678088955,47.2164632820508,-172618.323243762,5977478.24070991,7,IM,3,Place Marc Elder,
-1.56058048097813,47.2298878933033,-173723.024484407,5979678.68698254,36,IM,40,Rue François Bruneau,
-1.54810360341657,47.2101340233693,-172334.104827565,5976440.99655852,3,IM,2,impasse marmontel,
-1.56264868427247,47.2140028440877,-173953.25582199,5977075.00739187,2,PA,26,Rue Scribe,
-1.57556495294576,47.2221591549758,-175391.08827365,5978411.7909269,8,IM,18,Rue des Folies Chaillou,
-1.57047007907585,47.229989428507,-174823.929508795,5979695.33187918,1,PA,16,Avenue Similien,
-1.57584517715513,47.2286995157301,-175422.282689945,5979483.87591748,1,PA,37,Boulevard des Anglais,
-1.56207249642365,47.2117170070859,-173889.114884058,5976700.40563165,11,IM,13,Rue de l’Héronnière,
-1.57274623635142,47.213437572545,-175077.310177678,5976982.36948734,1,PA,18,Rue Alfred Riom,
-1.54738384974886,47.228779216942,-172253.982215778,5979496.9412226,1,PA,11,rue de clermont,
-1.56926651715351,47.2222636193709,-174689.949608463,5978428.91351631,1,PA,47,Rue de Miséricorde,
-1.5552388756469,47.2248002750824,-173128.399698917,5978844.70299285,24,IM,31,quai de versailles,
-1.56085949327132,47.2275458297426,-173754.08399081,5979294.7560321,1,PA,124,Rue Paul Bellamy,
-1.57324237054005,47.223481851899,-175132.539582922,5978628.59452316,1,PA,23,Boulevard Luc Olivier Merson,
-1.54507556707007,47.2317735076033,-171997.025363369,5979987.80522169,2,PA,7,Rue Coquebert de Neuville,
-1.55977010913368,47.2156402656892,-173632.814303331,5977343.357105,14,IM,3,Rue du Calvaire,
-1.56623338989918,47.2154846961153,-174352.303427,5977317.86114612,10,IM,4,Rue Bertrand Geslin,
